161|Siblings & double 4th cousins|161|-1|129/256|0|1|0|0|0|0|0|0|0|0|0|0|0|0
162|Triple half 1st cousins|162|0|3/32|47/1024|1|-32/7|8|-48/7|16/7|0|0|0|0|0|0|0|0
163|4th cousins, 2 rem|35|1|1/2048|1023/4194304|1|-4096/341|23040/341|-79872/341|567296/1023|-962560/1023|1197056/1023|-1097728/1023|736256/1023|-352256/1023|114176/1023|-2048/93|2048/1023
164|5th cousins, 1 rem|164|1|1/4096|2047/16777216|1|-26624/2047|162816/2047|-617472/204|1613824/2047|-3059712/2047|4319232/2047|-4589568/2047|3667968/2047|-2177024/2047|932864/2047|-3072/23|49152/2047|-4096/2047
165|Half siblings & 2nd cousins|165|-1|9/32|0|0|0|0|0|0|0|0|0|0|0|0|0|0
166|Half siblings & 3rd cousins, 1 rem|166|-1|65/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
167|Half siblings & 4th cousins|167|-1|129/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
168|Half avuncular & half 2nd cousins|168|-1|9/64|0|0|0|0|0|0|0|0|0|0|0|0|0|0
169|Half avuncular & half 2nd cousins, 1 rem|169|-1|17/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
170|Half avuncular & 2nd cousins, 2 rem|170|-1|17/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
171|Half avuncular & 3rd cousins, 1 rem|171|-1|33/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
172|Half grand avuncular & gr grand avuncular|172|-1|1/8|0|0|0|0|0|0|0|0|0|0|0|0|0|0
173|Half grand avuncular & 1st cousins, 1 rem|173|-1|1/8|0|0|0|0|0|0|0|0|0|0|0|0|0|0
174|Half grand avuncular & 1st cousins, 2 rem|174|-1|3/32|0|0|0|0|0|0|0|0|0|0|0|0|0|0
175|Half grand avuncular & 1st cousins, 3 rem|175|-1|5/64|0|0|0|0|0|0|0|0|0|0|0|0|0|0
176|Half grand avuncular & 2nd cousins, 1 rem|176|-1|5/64|0|0|0|0|0|0|0|0|0|0|0|0|0|0
177|Half grand avuncular & 2nd cousins, 2 rem|177|-1|9/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
178|Half grand avuncular & 3rd cousins, 1 rem|178|-1|17/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
179|Half gr grand avuncular & 1st cousins, 2 rem|179|-1|1/16|0|0|0|0|0|0|0|0|0|0|0|0|0|0
180|Half gr grand avuncular & 1st cousins, 3 rem|180|-1|3/64|0|0|0|0|0|0|0|0|0|0|0|0|0|0
181|Half gr grand avuncular & 2nd cousins, 2 rem|181|-1|5/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
182|Double half gr grand avuncular|182|-1|1/16|0|0|0|0|0|0|0|0|0|0|0|0|0|0
183|Double half gr gr grand avuncular|183|-1|1/32|0|0|0|0|0|0|0|0|0|0|0|0|0|0
184|Half 1st cousins & half 3rd cousins|184|-1|17/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
185|Half 1st cousins & 3rd cousins, 1 rem|185|-1|17/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
186|Half 1st cousins, 1 rem & 2nd cousins, 2 rem|186|-1|5/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
187|Half 1st cousins, 1 rem & 3rd cousins|187|-1|5/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
188|Half 1st cousins, 1 rem & 3rd cousins, 1 rem|188|-1|5/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
189|Double half 1st cousins, 1 rem|189|-1|1/16|0|0|0|0|0|0|0|0|0|0|0|0|0|0
190|Half 1st cousins, 2 rem & half 2nd cousins|190|-1|1/32|0|0|0|0|0|0|0|0|0|0|0|0|0|0
191|Half 1st cousins, 2 rem & half 2nd cousins, 2 rem|191|-1|5/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
192|Half 1st cousins, 2 rem & 2nd cousins|192|-1|3/64|0|0|0|0|0|0|0|0|0|0|0|0|0|0
193|Half 1st cousins, 2 rem & 2nd cousins, 1 rem|193|-1|1/32|0|0|0|0|0|0|0|0|0|0|0|0|0|0
194|Half 1st cousins, 2 rem & 2nd cousins, 2 rem|194|-1|3/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
195|Half 1st cousins, 2 rem & 3rd cousins|195|-1|3/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
196|Half 1st cousins, 2 rem & 3rd cousins, 1 rem|196|-1|3/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
197|Double half 1st cousins, 2 rem|197|-1|1/32|0|0|0|0|0|0|0|0|0|0|0|0|0|0
198|Double half 1st cousins, 3 rem|198|-1|1/64|0|0|0|0|0|0|0|0|0|0|0|0|0|0
199|Half 2nd cousins & 2nd cousins, 2 rem|199|-1|3/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200|Self - child of avuncular mating|200|-1|9/8|0|1|0|0|0|0|0|0|0|0|0|0|0|0
201|Self - child of cousins|201|-1|17/16|0|1|0|0|0|0|0|0|0|0|0|0|0|0
202|Self - child of 2nd cousins|202|-1|65/64|0|1|0|0|0|0|0|0|0|0|0|0|0|0
203|Self - child of siblings|203|-1|5/4|0|1|0|0|0|0|0|0|0|0|0|0|0|0
204|Self - child of parent-offspring|204|-1|5/4|0|1|0|0|0|0|0|0|0|0|0|0|0|0
205|Self - child of half siblings|205|-1|9/8|0|1|0|0|0|0|0|0|0|0|0|0|0|0
210|Self - unknown inbred mating type|210|-1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
211|Half 2nd cousins & 3rd cousins|211|-1|3/128|0|0|0|0|0|0|0|0|0|0|0|0|0|0
212|Half 2nd cousins & 3rd cousins, 1 rem|212|-1|5/256|0|0|0|0|0|0|0|0|0|0|0|0|0|0
